NAME,CENSUS2010POP,BIRTHS2010,BIRTHS2011,BIRTHS2012,BIRTHS2013,BIRTHS2014,BIRTHS2015,BIRTHS2016,BIRTHS2017,DEATHS2010,DEATHS2011,DEATHS2012,DEATHS2013,DEATHS2014,DEATHS2015,DEATHS2016,DEATHS2017
Alabama,4779736,14227,59689,59069,57936,58908,59638,59095,58389,11086,48817,48362,50852,49693,51818,52077,52390
Alaska,710231,2893,11703,11123,11342,11449,11335,11220,11163,919,3936,3931,4047,4038,4360,4459,4543
Arizona,6392017,20942,86103,85579,86100,86124,86766,85201,85634,11484,48160,48753,50602,50244,52857,57115,57553
Arkansas,2915918,9439,38441,38600,37977,38230,38784,38497,38236,6967,29467,29764,30944,29939,31336,30603,30395
California,37253956,123307,509764,497433,499627,498911,500352,488905,487916,57293,238428,239563,247767,243999,253579,271039,273977
Colorado,5029196,16789,65919,64742,64734,65723,66345,66953,67638,7842,32017,32727,33582,33934,36264,36975,37427
Connecticut,3574097,9492,37642,36850,36138,36158,36324,35332,35183,6832,29328,29086,29783,29674,30355,30380,30245
Delaware,897934,2848,11301,11155,10889,10982,11026,11104,11010,1843,7870,7692,8093,8081,8532,8747,9005
District of Columbia,601723,2246,9199,9231,9446,9334,9652,9589,9715,1180,4671,4542,4811,4650,4892,5181,5422
Florida,18801310,50876,213213,214012,212995,218338,221755,225401,225447,41783,174503,173747,181650,181070,190993,199809,203428
Georgia,9687653,32499,132615,131873,128658,129559,131674,131268,130814,17209,71112,70413,74819,74839,78527,80957,82029
Hawaii,1360301,4645,19154,18896,19036,18955,18215,18355,18019,2528,10079,10243,10347,10738,11069,12089,12303
Idaho,1567582,5968,22953,22363,22702,22434,23036,22862,22981,2569,11884,11898,12301,12540,12890,12720,12653
Illinois,12830632,41833,162427,160151,157510,157522,159246,156140,153991,24059,101616,101292,104307,102710,107597,106734,106830
Indiana,6483802,20958,83465,83079,83368,83523,84168,83536,83021,13868,57896,58622,60716,59866,62949,61056,60476
Iowa,3046355,9966,37853,38479,38804,39459,39694,39229,39076,6872,28207,28047,29141,28927,29809,28408,28310
Kansas,2853118,9990,40125,39579,39723,39293,38999,38779,38205,6002,25180,24971,25596,25502,26558,25341,24821
Kentucky,4339367,13696,55318,55291,56047,55757,55946,55619,54895,10542,42423,42786,44424,43684,46370,45347,44749
Louisiana,4533372,14574,62300,62273,62528,64205,64394,64229,63066,9179,40755,40741,43787,43575,43963,44274,45049
Maine,1328361,3440,12625,12802,12871,12700,12652,12556,12504,3099,13031,12751,13403,13354,14177,14069,13739
Maryland,5773552,18454,73542,72720,72362,72756,74160,73099,72422,10627,43668,43462,45736,44743,47153,48888,49928
Massachusetts,6547629,18646,73183,72220,72154,71948,71924,71218,71168,12288,54015,52422,54801,54734,57473,56892,57119
Michigan,9883640,29110,113978,113078,113007,114522,113790,112806,112143,22100,89845,89053,92310,91830,96363,94038,93495
Minnesota,5303925,17497,68367,68045,68968,69894,69708,69623,69233,9338,39984,39315,41322,40826,42949,41920,41854
Mississippi,2967297,9418,39746,39430,38505,38715,38578,37951,37373,6647,29130,29019,30636,30582,31502,30811,30875
Missouri,5988927,19016,76247,75431,75169,75776,75142,74449,73790,13178,55981,55635,57582,57137,60055,58586,58382
Montana,989415,3067,12005,12035,12205,12384,12578,12579,12509,2392,9126,8954,9443,9385,9683,9641,9665
Nebraska,1826341,6514,25727,25763,26021,26468,26859,26442,26449,3655,15620,15217,16174,15707,16575,15506,15289
Nevada,2700551,8892,35847,34702,35089,35226,36231,36537,36657,4944,20192,20406,21256,21263,22466,23949,24237
New Hampshire,1316470,3265,12994,12372,12595,12222,12380,12455,12459,2517,10737,10507,10872,11097,11919,11609,11559
New Jersey,8791894,26544,106675,104517,103462,103319,103122,102397,101625,17089,71061,69047,72467,70480,72483,73194,74111
New Mexico,2059179,6645,27800,27047,26731,26368,26051,25335,25209,3808,16383,16458,16797,17133,17651,18025,17861
New York,19378102,61419,243111,239922,239872,237032,239354,234754,232766,35116,149748,146899,152560,148769,153835,156143,159676
North Carolina,9535483,29915,121036,119573,119380,120193,120833,120998,120525,18670,79942,79507,84315,83489,88441,89611,90129
North Dakota,672591,2338,9211,9873,10250,10980,11404,11282,11064,1494,6053,5935,6226,6205,6339,5918,6086
Ohio,11536504,34809,137928,137680,139090,139558,139546,138074,137396,26563,110661,111408,114529,111900,118279,115889,114938
Oklahoma,3751351,13148,52554,52346,53345,53078,53527,52735,52280,8176,37662,36955,38627,38629,39737,39431,39416
Oregon,3831074,11880,45394,44913,44990,45473,45681,46012,46551,7803,32517,32942,33422,33819,35359,35591,35527
Pennsylvania,12702379,36114,142966,142112,141828,142213,141908,139732,138818,30123,127770,125499,130744,126592,132675,131083,131458
Rhode Island,1052567,2873,11003,11009,10869,10725,10876,11043,10915,2337,9764,9321,9639,9706,10085,9947,9760
South Carolina,4625364,14180,57475,57521,56559,57286,58279,57899,57996,9674,42034,42074,44667,44520,46819,47816,48071
South Dakota,814180,3032,11797,11890,12058,12439,12255,12247,12154,1928,7295,7434,7287,7171,7756,7321,7275
Tennessee,6346105,19659,78617,80309,80283,80449,81878,81622,81419,14309,60206,60636,63501,63552,66111,65992,65544
Texas,25145561,92761,381743,378110,384418,394327,402275,404224,404311,40960,168092,169146,178623,180786,187895,192203,194621
Utah,2763885,13753,51925,50447,51852,50830,51014,51082,51461,3690,15005,15474,16278,16282,17239,16933,16575
Vermont,625741,1659,6053,6087,5978,6118,5975,5849,5807,1331,5431,5456,5559,5606,5934,5618,5497
Virginia,8001024,25715,102345,102756,102537,102591,103238,103019,101515,14675,60446,60211,63427,62637,65496,65725,66786
Washington,6724540,22236,86679,86720,87236,87392,88771,89908,90459,11825,49850,49450,51329,51281,53772,55958,56457
West Virginia,1852994,5104,20466,20677,20926,20572,20089,19431,19098,5230,21909,21490,22255,21671,22781,22404,22227
